ID,評分
2,4.5
93,4.5
149,3.5
302,2
68,1.5
112,1.5
201,1
38,1.5
92,1
348,1
415,3.5
334,3.5
270,3.5
450,2.5
337,2
452,2.5
494,2.5
482,2.2
197,2.2
511,2.2
449,2.2
489,2
319,4.5
530,3.5
440,3.5
469,3
379,2
571,2
85,1.5
137,1.5
43,1
418,2
428,1
521,2
36,2
150,4.5
138,4.5
152,2
33,2
48,2
59,2
42,2.2
98,1.5
528,2
47,4.5
58,2.5
262,1.5
544,4.5
292,3.5
467,2.5
260,2
171,2.2
488,2
526,2
289,2
366,1.5
470,1
414,4.5
413,3.5
545,2.2
456,2
367,1
464,2
72,4.5
26,2.5
37,2
516,2.2
285,2
45,4.5
442,3.5
363,2.2
479,3
60,2
485,2.2
513,2.2
436,2.2
381,2.2
188,2
160,1.5
73,2.2
462,1.5
535,3.5
135,2.5
457,2
107,2
62,2
84,1.5
451,1
706,5
691,5
732,5
544,5
45,5
259,4.5
273,4.5
195,4.5
560,4.5
520,4.5
136,4.5
319,4.5
171,4.5
784,4.5
759,4
780,4
811,4
139,4
545,4
43,4
77,4
284,4
306,4
418,4
464,4
305,4
106,4
336,4
570,4
360,4
362,4
633,4
196,4
449,4
72,4
73,4
76,4
287,4
107,4
618,4
792,4
750,4
227,4
442,4
511,4
432,4
625,4
530,3
60,3
317,3
272,3
710,3
440,3
699,3
658,3
507,3
346,3
120,3
188,3
788,3
595,3
74,3
626,3
713,3
722,3
159,3
363,3
684,3
550,3
650,3
138,3
648,3
336,3
608,3
452,3
482,3
479,3
816,3
739,3
178,3
402,3
213,3
415,3
334,3
379,3
307,3
398,3
693,3
634,3
535,2
642,2
534,2
359,2
337,2
620,2
160,2
108,2
643,2
260,2
323,2
135,2
489,2
413,2
397,2
661,2
451,2
85,2
414,2
44,2
381,0.7
485,0.7
197,0.7
125,0.7
361,0.7
621,0.7
761,0.7
339,0.7
497,0.7
755,0.7
775,0.7
241,0.7
716,0.7
675,0.7
503,0.7
726,0.7
587,0.4
204,0.4
764,0.4
258,0.4
526,0.4
358,0.4
170,0.4
172,0.4
782,0.4
84,0.4
87,0.4
462,0.1
169,0.1
35,0.1
547,0.1
437,0.1
428,1
58,1
456,1
144,1
126,1
669,1
352,1
88,1
506,1
770,1
137,1
262,1
635,1
494,1
724,1
356,1
800,1
656,1
720,1
632,1
270,1
586,1
610,1
436,1
619,1
683,1
687,1
292,1
682,1
613,1
584,1
