ID,名字,稀有度,綜合評分,綜合等第,真實評分,真實等第,預測評分,預測等第
732,暁光のイザナギ,SSSR,5.0,S,5.0,S,,
706,断命の王ダークフォノウ,SSR,5.0,S,5.0,S,,
691,天命の王フォノウ,SSR,5.0,S,5.0,S,,
544,漆黒の魔女ダークキャスリィ,SSR,4.75,S,4.75,S,,
045,獄炎鬼にゃんま,SSR,4.75,S,4.75,S,,
273,Gガネーシャエクサ,SSR,4.5,S,4.5,S,,
520,シン・ラスヴォース,SSR,4.5,S,4.5,S,,
560,閻魔総長エマ,SSR,4.5,S,4.5,S,,
195,インフェルノ・アキラ,SSR,4.5,S,4.5,S,,
136,究極勇者ウルトラコスモ,SSR,4.5,S,4.5,S,,
259,Gパーフェクトアヌビス,SSR,4.5,S,4.5,S,,
319,白無垢のミタマ,SSR,4.5,S,4.5,S,,
784,超スターこねこ,SSR,4.5,S,4.5,S,,
842,竈門禰豆子CC,SSR,4.44,S,,,4.44,S
573,バイソンCC,SSR,4.26,S,,,4.26,S
072,飛翔の武神・真田幸村,SSR,4.25,S,4.25,S,,
362,嵐の大精霊エアフワンティ,SSR,4.0,S,4.0,S,,
633,超電磁戦機ディア・ボロス,SSR,4.0,S,4.0,S,,
570,岩石の精霊王ダイゴロー,SSR,4.0,S,4.0,S,,
625,ドッジボール部くにおくん,SSR,4.0,S,4.0,S,,
618,デビルハンターサトル,SSR,4.0,S,4.0,S,,
196,アストロDr.メカ子,SSR,4.0,S,4.0,S,,
759,復讐の傭兵トリクシー,SSR,4.0,S,4.0,S,,
284,猫拳王パイパイDX,SSR,4.0,S,4.0,S,,
305,極撃滅戦車ギガパルド,SSR,4.0,S,4.0,S,,
306,極無敵艦隊シーガレオン,SSR,4.0,S,4.0,S,,
227,奇術科学者クレイG,SSR,4.0,S,4.0,S,,
432,聖魔探偵ゼログラヴィティー,SSR,4.0,S,4.0,S,,
780,救済の天女ルナーシャ,SSR,4.0,S,4.0,S,,
750,斎藤一CC,SSR,4.0,S,4.0,S,,
792,花山薫CC,SSR,4.0,S,4.0,S,,
106,金猿帝のクウγ,SSR,4.0,S,4.0,S,,
139,ウルトラかぐやひめ,SSR,4.0,S,4.0,S,,
811,エッジマスター・スタール,SSR,4.0,S,4.0,S,,
076,アルティメットウィンディα,SSR,4.0,S,4.0,S,,
287,閃雷輝兵ウイングレイ,SSR,4.0,S,4.0,S,,
077,アルティメットサンディアβ,SSR,4.0,S,4.0,S,,
360,火炎の大精霊メラフェニックス,SSR,4.0,S,4.0,S,,
585,前田クリス慶次DX,SSR,3.8,S,,,3.8,S
442,黒傑ダークダルターニャ,SSR,3.75,S,3.75,S,,
138,ウルトラかさじぞう,SSR,3.75,S,3.75,S,,
827,キャミィCC,SSR,3.73,A,,,3.73,A
431,ぐでネコマシン・卵,SSR,3.61,A,,,3.61,A
600,シャンプー,SSR,3.54,A,,,3.54,A
844,嘴平伊之助CC,SSR,3.51,A,,,3.51,A
336,竜宮の人魚姫ルリィ,SSR,3.5,A,3.5,A,,
332,極悪道化マッドダック,SSR,3.41,A,,,3.41,A
171,ムギワラテサラン,SSR,3.35,A,3.35,A,,
223,ゴールデンヒュージハーミットCC,SSR,3.34,A,,,3.34,A
303,ネコアイスサキュバス,SSR,3.33,A,,,3.33,A
472,ブラックライスト,SSR,3.29,A,,,3.29,A
054,フィリバスター,SSR,3.28,A,,,3.28,A
518,紅蓮の格闘王ケン,SSR,3.27,A,,,3.27,A
355,常夏の果実カイμ,SSR,3.26,A,,,3.26,A
