角色ID,模組1分數,模組2分數,模組3分數,模組1等第,模組2等第,模組3等第
035,2.685,,3.069,C,,C
043,5.5679,,5.4774,B,,B
044,6.8343,6.6846,,A,A,
045,7.6696,,6.1451,S,,B
054,6.4839,,8.4299,B,,S
058,5.6898,,,B,,
060,6.129,,6.5836,B,,A
067,6.6198,,4.0142,A,,C
072,7.2788,7.2006,,A,A,
073,6.4335,7.2006,,B,A,
074,6.8396,,6.9871,A,,A
076,6.8184,7.4253,,A,A,
077,7.7922,7.3724,7.8765,S,A,S
084,4.1976,5.5414,5.0526,C,B,B
085,4.8016,,5.3957,B,,B
086,5.839,,5.3921,B,,B
087,3.4912,,3.7083,C,,C
088,4.4082,7.3724,4.6394,C,A,B
090,4.0434,7.3724,,C,A,
091,6.5118,,,A,,
106,7.9064,6.5651,6.1451,S,A,B
107,7.17,7.4253,,A,A,
108,6.5977,,6.0887,A,,B
120,6.1248,7.2006,,B,A,
125,4.3214,,4.1194,C,,C
126,6.1435,,,B,,
135,5.2078,4.7387,6.1451,B,B,B
136,7.3972,,8.2263,A,,S
137,5.7824,,3.9107,B,,C
138,7.9326,4.7387,,S,B,
139,7.7385,,6.9969,S,,A
144,4.0508,,5.1922,C,,B
159,5.6585,7.2006,6.744,B,A,A
160,5.4312,5.0579,,B,B,
162,6.0072,,6.3494,B,,B
169,3.4304,,8.1132,C,,S
170,3.8461,,,C,,
171,5.7904,,,B,,
172,2.5119,,4.3668,C,,C
175,5.1199,,,B,,
178,5.4861,,7.1803,B,,A
181,5.1582,7.4253,6.1451,B,A,B
186,5.5403,7.6123,,B,S,
187,6.953,,3.6991,A,,C
188,7.1136,5.0579,,A,B,
189,5.5467,6.4819,6.9848,B,B,A
195,6.6233,8.2769,9.2054,A,S,S
196,6.4525,8.2769,8.6366,B,S,S
197,5.1288,4.8288,6.7062,B,B,A
204,4.4041,3.6869,,C,C,
213,5.6238,6.6846,7.3524,B,A,A
223,7.2011,4.9323,,A,B,
224,4.3776,,7.1316,C,,A
225,6.0392,5.567,7.3072,B,B,A
226,5.9447,7.4253,6.4951,B,A,B
227,7.1435,,5.4932,A,,B
230,5.6542,8.2769,,B,S,
231,5.6081,7.2006,,B,A,
237,5.6773,6.5407,,B,A,
241,3.6774,,,C,,
242,6.6219,3.6869,,A,C,
243,5.6089,3.6869,,B,C,
258,4.2646,4.6966,,C,B,
259,7.7708,,7.9571,S,,S
260,4.8564,8.2769,,B,S,
262,5.1813,,4.8612,B,,B
270,5.528,5.8243,,B,B,
271,5.665,6.5651,,B,A,
272,6.2502,5.8243,,B,B,
273,6.4079,,,B,,
275,5.5269,7.3724,,B,A,
276,5.0879,4.7387,6.5234,B,B,A
284,7.3723,8.5018,6.1451,A,S,B
287,6.7659,8.3539,,A,S,
289,5.4371,8.1462,5.4558,B,S,B
290,4.8035,8.3049,4.7227,B,S,B
291,6.0696,,,B,,
292,5.2599,5.0579,,B,B,
303,6.6424,,4.8698,A,,B
305,5.315,7.4332,8.0005,B,A,S
306,6.9105,7.2252,,A,A,
307,6.0266,,7.099,B,,A
311,5.3372,,6.1235,B,,B
317,6.5213,,5.31,A,,B
319,6.8708,5.8243,7.9667,A,B,S
323,5.5004,4.6966,6.4588,B,B,B
327,6.02,7.3724,4.6394,B,A,B
331,5.6868,5.0579,6.0152,B,B,B
332,6.9437,,,A,,
334,5.9362,7.0353,7.3385,B,A,A
336,6.976,7.2211,,A,A,
337,5.069,5.0616,,B,B,
338,6.4438,,,B,,
339,4.8983,7.2006,,B,A,
342,5.4175,3.6869,,B,C,
346,5.8701,7.4253,6.8211,B,A,A
347,5.6355,,5.8846,B,,B
351,5.4455,,5.9657,B,,B
352,5.2989,4.9323,6.1451,B,B,B
355,6.4275,5.4255,,B,B,
356,4.9602,,,B,,
358,4.2206,,6.2966,C,,B
359,4.9033,,,B,,
360,6.5725,8.6773,,A,S,
361,5.8167,8.2769,8.0471,B,S,S
362,6.9191,8.2769,8.7312,A,S,S
363,5.7848,7.4253,,B,A,
364,5.318,,7.0501,B,,A
366,4.6412,,,B,,
367,5.0053,,,B,,
368,6.4142,,5.0273,B,,B
369,5.3992,,,B,,
379,6.1667,7.0353,6.1758,B,A,B
381,5.4167,5.8243,,B,B,
394,6.5874,,5.4586,A,,B
395,5.612,4.161,,B,C,
396,5.5069,,,B,,
397,5.1917,5.0616,,B,B,
398,5.2696,7.6123,7.2422,B,S,A
402,6.3044,8.2769,7.6142,B,S,S
413,5.7409,5.8224,,B,B,
414,6.3617,6.78,,B,A,
415,5.997,7.512,,B,S,
416,5.7471,,6.4236,B,,B
417,5.2209,,4.6137,B,,B
418,5.8205,8.175,7.1006,B,S,A
428,4.5409,,5.4932,B,,B
431,6.6534,5.9739,6.9574,A,B,A
432,6.1056,8.175,7.0927,B,S,A
436,5.0796,,7.9571,B,,S
437,3.6756,,5.4932,C,,B
439,5.957,6.0509,,B,B,
440,5.6534,,7.5469,B,,S
441,5.5112,,,B,,
442,6.3274,7.0353,,B,A,
457,5.7353,5.6012,,B,B,
468,6.2974,5.8243,6.243,B,B,B
469,6.2632,6.0751,6.9668,B,B,A
472,6.3154,7.1405,8.6589,B,A,S
483,5.8676,,8.3922,B,,S
485,5.3594,,,B,,
486,5.8858,,,B,,
487,6.2719,,,B,,
488,4.9891,,5.0387,B,,B
489,5.4151,4.6966,,B,B,
495,6.2298,,5.2533,B,,B
497,4.9825,,3.5875,B,,C
503,4.0178,,,C,,
506,3.7996,,6.9124,C,,A
507,6.4347,,,B,,
513,6.9685,,5.7935,A,,B
516,5.918,8.2769,,B,S,
518,7.2384,4.8719,3.9596,A,B,C
520,7.8863,,5.4932,S,,B
526,4.7539,,5.7455,B,,B
527,5.5709,4.7473,,B,B,
530,6.9902,,7.0564,A,,A
531,5.1466,8.175,,B,S,
534,6.1878,,6.1451,B,,B
535,6.316,,5.4932,B,,B
536,6.0897,4.8719,,B,B,
537,4.3793,,7.1696,C,,A
538,5.2353,,5.7401,B,,B
544,7.3368,,9.1162,A,,S
547,2.9143,,4.4261,C,,C
548,6.5611,5.9055,5.4877,A,B,B
549,5.8252,7.2006,6.744,B,A,A
550,4.7081,7.4253,8.1033,B,A,S
551,4.6875,5.0579,4.6181,B,B,B
552,4.3246,8.2769,,C,S,
560,6.7165,,,A,,
561,5.8595,5.8695,,B,B,
564,6.2434,4.7473,,B,B,
565,4.3209,,,C,,
570,6.8551,8.2769,,A,S,
571,6.2157,,5.8622,B,,B
573,7.2897,,,A,,
574,5.8504,,6.0809,B,,B
575,5.7043,7.4253,,B,A,
576,5.0807,5.9823,,B,B,
583,6.2122,4.161,,B,C,
584,4.8452,4.161,,B,C,
585,6.7127,7.6782,,A,S,
586,4.3918,5.8243,,C,B,
588,4.9349,6.5651,,B,A,
589,4.5447,,,B,,
591,5.7637,7.0353,6.0374,B,A,B
595,6.9979,8.175,,A,S,
596,3.6494,,5.8239,C,,B
598,5.5827,,5.4932,B,,B
599,4.9424,5.7566,5.5549,B,B,B
600,6.7051,,,A,,
608,6.1738,7.2006,,B,A,
610,4.538,7.0353,,B,A,
613,3.8553,,6.1451,C,,B
615,4.8761,,6.9183,B,,A
618,6.6946,,7.5971,A,,S
619,4.6198,6.4819,,B,B,
620,5.3717,6.388,,B,B,
621,4.3051,7.6782,4.0655,C,S,C
625,6.9018,,,A,,
626,4.3628,,,C,,
632,4.9349,5.2063,,B,B,
633,5.9248,7.8997,,B,S,
634,6.5008,,4.8661,A,,B
635,4.7251,7.3708,,B,A,
642,5.3654,5.8243,6.243,B,B,B
643,5.2787,5.9018,,B,B,
645,5.895,,6.3632,B,,B
648,6.376,6.6846,7.1784,B,A,A
649,6.9276,,6.1819,A,,B
650,6.3491,5.8695,5.6621,B,B,B
656,4.4914,5.0616,5.1066,C,B,B
658,5.9011,8.6675,7.615,B,S,S
661,4.7517,,6.3247,B,,B
662,5.226,,6.3596,B,,B
667,5.4996,5.567,,B,B,
669,5.3982,4.161,3.7094,B,C,C
672,5.4722,,4.4101,B,,C
675,4.1572,5.4255,4.5966,C,B,B
682,5.0621,5.8243,,B,B,
683,4.9024,5.8243,,B,B,
684,7.2312,7.4253,,A,A,
687,5.0169,5.8243,6.243,B,B,B
688,6.3607,4.9323,6.408,B,B,B
691,6.0849,5.8243,,B,B,
693,6.3332,6.7582,,B,A,
694,5.6364,,5.0725,B,,B
699,7.02,,7.3395,A,,A
700,6.0562,,6.8673,B,,A
706,7.3342,,5.4701,A,,B
710,7.234,,5.0689,A,,B
711,6.2221,7.4688,,B,A,
713,4.6796,,6.3225,B,,B
715,6.1301,5.4422,,B,B,
